FIRST_NAME|LAST_NAME|BIOGRAPHY_NOTE|BIRTH_DATE
David|Farley|'<p>Dave Farley is co-author of the award winning book &apos;Continuous Delivery&apos; and a contributor to the &apos;Reactive Manifesto&apos;. He has been having fun with computers for over 30 years. During that period he has worked on most types of software, from firmware, through tinkering with operating systems and device drivers, to writing games, and commercial applications of all shapes and sizes. In recent years Dave has worked in the field of low-latency systems and was a contributor to the Duke award-winning &apos;LMAX Disruptor&apos;, open-source project.</p><p>He started working in large scale distributed systems about 25 years ago, doing research into the development of loose-coupled, message-based systems-a forerunner of today&apos;s Micro-Service architecture. He has a wide range of experience leading the development of complex software in teams, both large and small, in the UK and USA.</p><p>Dave was an early adopter of agile development techniques, employing iterative development, continuous integration and significant levels of automated testing on commercial projects from the early 1990s. He honed his approach to agile development in his four and a half year stint at ThoughtWorks where he was a technical principal working on some of their biggest and most challenging projects.</p><p>Dave is currently working as an independent software developer and consultant.</p>'|
Sam|Newman|'<p>Sam Newman is an author, speaker, and independent consultant interested in cloud, continuous delivery and microservices. Aside from other things he&apos;s spoken at more than a few conferences, and wrote some things including the books Building Microservices and Monolith To Microservices for O&apos;Reilly.</p>'|
Joshua|Bloch|"<p>Joshua J. Bloch (born August 28, 1961) is a software engineer and a technology author, formerly employed at Sun Microsystems and Google. He led the design and implementation of numerous Java platform features, including the Java Collections Framework, the java.math package, and the assert mechanism. He is the author of the programming guide Effective Java (2001), which won the 2001 Jolt Award, and is a co-author of two other Java books, Java Puzzlers (2005) and Java Concurrency In Practice (2006).</p><p>Bloch holds a B.S. in computer science from Columbia University and a Ph.D. in computer science from Carnegie Mellon University. His 1990 thesis was titled A Practical Approach to Replication of Abstract Data Objects and was nominated for the ACM Distinguished Doctoral Dissertation Award.</p><p>Bloch has worked as a Senior Systems Designer at Transarc, and later as a Distinguished Engineer at Sun Microsystems. In June 2004 he left Sun and became Chief Java Architect at Google. On August 3, 2012, Bloch announced that he would be leaving Google.</p><p>In December 2004, Java Developer&apos;s Journal included Bloch in its list of the ""Top 40 Software People in the World"".</p><p>Bloch has proposed the extension of the Java programming language with two features: Concise Instance Creation Expressions (CICE) (coproposed with Bob Lee and Doug Lea) and Automatic Resource Management (ARM) blocks. The combination of CICE and ARM formed one of the three early proposals for adding support for closures to Java. ARM blocks were added to the language in JDK7.</p><p>Bloch is currently a faculty member of the Institute for Software Research at Carnegie Mellon University, where he holds the title ""Professor of the Practice"". In addition to his research, Bloch teaches coursework in Software Engineering.</p>"|1961-08-28
Richard|Feldman|<p><strong>Richard Feldman</strong> is a software engineer at NoRedInk and a well-known member of the Elm community.</p>|
Martin|Odersky|<p><strong>Martin Odersky</strong> (born 5 September 1958) is a German computer scientist and professor of programming methods at École Polytechnique Fédérale de Lausanne (EPFL) in Switzerland. He specializes in code analysis and programming languages. He designed with help from others the Scala programming language and Generic Java (and Pizza before).</p><p>In 1989, he received his Ph.D. from ETH Zurich under the supervision of Niklaus Wirth, who is best known as the designer of several programming languages, including Pascal. He did postdoctoral work at IBM and Yale University.</p><p>In 1997, he implemented the GJ compiler, and his implementation became the basis of javac, the Java compiler.</p><p>In 2002, he and others began working on Scala which had its first public release in 2003.</p><p>In 2007, he was inducted as a Fellow of the Association for Computing Machinery.</p><p>On 12 May 2011, Odersky and collaborators launched Typesafe Inc. (renamed Lightbend Inc., February 2016), a company to provide commercial support, training, and services for Scala.</p><p>He teaches three courses on the Coursera online learning platform: <em>Functional Programming Principles in Scala, Functional Program Design in Scala and Programming Reactive Systems</em>.</p>|1958-09-05
Lex|Spoon|'<p><strong>Lex Spoon</strong> is a software engineer at Semmle, Ltd. He worked on Scala for two years as a post-doc at EPFL. He has a Ph.D. from Georgia Tech, where he worked on static analysis of dynamic languages. In addition to Scala, he has helped develop a wide variety of programming languages, including the dynamic language Smalltalk, the scientific language X10, and the logic language that powers Semmle. He and his wife live in Atlanta with two cats and a chihuahua.</p>'|
Bill|Venners|'<p><strong>Bill Venners</strong> is president of Artima, Inc., publisher of the Artima Developer website (www.artima.com). He is author of the book, Inside the Java Virtual Machine, a programmer-oriented survey of the Java platform&apos;s architecture and internals. His popular columns in JavaWorld magazine covered Java internals, object-oriented design, and Jini. Active in the Jini Community since its inception, Bill led the Jini Community&apos;s ServiceUI project, whose ServiceUI API became the de facto standard way to associate user interfaces to Jini services. Bill is a community representative on the Scala Center advisory board, and is the lead developer and designer of the ScalaTest testing framework and the Scalactic library for functional, object-oriented programming.</p>'|
Frank|Sommers|'<p>Frank is founder and president of Autospaces, Inc., a company specializing in providing workflow and decision support systems for the auto finance industry.</p>'|
Chris|Richardson|'<p>Chris Richardson is a developer and architect. He is a Java Champion, a JavaOne rock star and the author of POJOs in Action, which describes how to build enterprise Java applications with frameworks such as Spring and Hibernate. Chris was also the founder of the original CloudFoundry.com, an early Java PaaS for Amazon EC2.</p><p>Today, he is a recognized thought leader in microservices and speaks regularly at international conferences. Chris is the creator of Microservices.io, a pattern language for microservices, and is the author of the book Microservice Patterns. He provides microservices consulting and training to organizations that are adopting the microservice architecture and is working on his third startup Eventuate, an application platform for developing transactional microservices.</p>'|
Eric|Evans|'<p>Eric Evans is the author of <em>Domain-Driven Design: Tackling Complexity in Software</em>, Addison-Wesley 2004.</p><p>Since the early 1990s, he has worked on many projects developing large business systems with objects with many different approaches and many different outcomes. The book is a synthesis of that experience. It presents a system of modeling and design techniques that successful teams have used to align complex software systems with business needs and to keep projects agile as systems grow large.</p><p>Eric now leads “Domain Language”, a consulting group which coaches and trains teams applying domain-driven design, helping them to make their development work more productive and more valuable to their business.</p>'|
